"atc","parent","sv","en"
"-",NA,"Ospecificerad","Unspecified"
"A",NA,"Matsmältningsorgan och ämnesomsättning","Alimentary tract and metabolism"
"A01","A","Medel vid mun- och tandsjukdomar","Stomatological preparations"
"A01A","A01","Medel vid mun- och tandsjukdomar","Stomatological preparations"
"A01AA","A01A","Medel mot karies","Caries prophylactic agents"
"A01AA01","A01AA","Natriumfluorid","Sodium fluoride"
"A01AA02","A01AA","Natriummonofluorofosfat","Sodium monofluorophosphate"
"A01AA03","A01AA","Olaflur","Olaflur"
"A01AA04","A01AA","Tennfluorid","Stannous fluoride"
"A01AA30","A01AA","Kombinationer","Combinations"
"A01AA51","A01AA","Natriumfluorid, kombinationer","Sodium fluoride, combinations"
"A01AB","A01A","Antiinfektiva och antiseptiska medel för lokal behandling i munhålan","Antiinfectives and antiseptics for local oral treatment"
"A01AB02","A01AB","Väteperoxid","Hydrogen peroxide"
"A01AB03","A01AB","Klorhexidin","Chlorhexidine"
"A01AB04","A01AB","Amfotericin B","Amphotericin B"
"A01AB05","A01AB","Polynoxylin","Polynoxylin"
"A01AB06","A01AB","Domifen","Domiphen"
"A01AB07","A01AB","Hydroxikinolin","Oxyquinoline"
"A01AB08","A01AB","Neomycin","Neomycin"
"A01AB09","A01AB","Mikonazol","Miconazole"
"A01AB10","A01AB","Natamycin","Natamycin"
"A01AB11","A01AB","Övrigt","Various"
"A01AB12","A01AB","Hexetidin","Hexetidine"
"A01AB13","A01AB","Tetracyklin","Tetracycline"
"A01AB14","A01AB","Bensoxoniumklorid","Benzoxonium chloride"
"A01AB15","A01AB","Tibezoniumjodid","Tibezonium iodide"
"A01AB16","A01AB","Mepartricin","Mepartricin"
"A01AB17","A01AB","Metronidazol","Metronidazole"
"A01AB18","A01AB","Klotrimazol","Clotrimazole"
"A01AB19","A01AB","Natriumperborat","Sodium perborate"
"A01AB21","A01AB","Klortetracyklin","Chlortetracycline"
"A01AB22","A01AB","Doxycyklin","Doxycycline"
"A01AB23","A01AB","Minocyklin","Minocycline"
"A01AB24","A01AB","Oktenidin","Octenidine"
"A01AB25","A01AB","Oxitetracyklin","Oxytetracycline"
"A01AB53","A01AB","Klorhexidin och cetylpyridinium","Chlorhexidine and cetylpyridinium"
